Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
'v3 train',1,1,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,22,3,0,88,12,0,0.757281553398058,0.106638994677452,0.312635409091292,21.3471175939464,62.5677042522681,24.9765874474267,1104.85474660502,-1079.87815915759,0.99906349789707,44.1941898642008,-43.1951263663037,19.5608318712688,0.782433274850752,78.3166712123601,1,13,0.25,3,0.75,9,0,0,0.8125,1,0.896551724137931,0.7806247497998,0.958333333333333,0.928571428571429,0.88,0.13,0.87,0.12,0.9025,0.88,0.877635467980296,0.7806247497998,0.941410256410256,0.942057142857143,0.876847290640394,0.88,0.112,0.006,0.11,0,110,0,90897,330628,47194,92,52,?
'v3 train',1,2,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,23,2,0,92,8,0,0.83974358974359,0.090692621245624,0.287834301750056,18.1549540718142,57.60426024007,24.9765874474267,646.286777220185,-621.310189772758,0.99906349789707,25.8514710888074,-24.8524075909103,20.5266132606932,0.821064530427726,82.183417986543,0.923076923076923,12,0.083333333333333,1,0.916666666666667,11,0.076923076923077,1,0.923076923076923,0.923076923076923,0.923076923076923,0.83974358974359,0.923076923076923,0.896374992528838,0.92,0.08025641025641,0.91974358974359,0.08,0.92,0.92,0.92,0.83974358974359,0.910769230769231,0.888236208236208,0.919871794871795,0.92,0.096,0.004,0.09,0,90,0,90897,330628,47194,92,52,?
'v3 train',1,3,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,23,2,0,92,8,0,0.83974358974359,0.087471428753335,0.284718839300187,17.5101320239919,56.9807629409669,24.9765874474267,574.170945071509,-549.194357624082,0.99906349789707,22.9668378028603,-21.9677743049633,20.6841334152982,0.827365336611927,82.8140892299087,0.923076923076923,12,0.083333333333333,1,0.916666666666667,11,0.076923076923077,1,0.923076923076923,0.923076923076923,0.923076923076923,0.83974358974359,0.891025641025641,0.884297697842848,0.92,0.08025641025641,0.91974358974359,0.08,0.92,0.92,0.92,0.83974358974359,0.912564102564102,0.890137833181311,0.919871794871795,0.92,0.078,0.003,0.07,0,70,0,90897,330628,47194,92,52,?
'v3 train',1,4,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,24,1,0,96,4,0,0.919614147909968,0.054418817081428,0.212505949380322,10.8936218976409,42.5288019400032,24.9765874474267,391.981741255189,-367.005153807763,0.99906349789707,15.6792696502076,-14.6802061523105,22.33202485143,0.893280994057199,89.4118337760781,1,13,0.083333333333333,1,0.916666666666667,11,0,0,0.928571428571429,1,0.962962962962963,0.92259984619036,0.955128205128205,0.923499577345731,0.96,0.043333333333333,0.956666666666666,0.04,0.962857142857143,0.96,0.95987117552335,0.92259984619036,0.967435897435898,0.95221978021978,0.959742351046699,0.96,0.074,0.003,0.07,0,70,0,90897,330628,47194,96,52,?
'v3 train',1,5,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,21,3,0,87.5,12.5,0,0.75,0.126117285797848,0.353585664866305,25.2234571595696,70.6913190892203,24.012650596464,435.187765501278,-411.175114904814,1.000527108186,18.1328235625533,-17.1322964543673,17.9704011103085,0.74876671292952,74.8372239795748,0.916666666666667,11,0.166666666666667,2,0.833333333333333,10,0.083333333333333,1,0.846153846153846,0.916666666666667,0.88,0.752617809006382,0.875,0.820512820512821,0.875,0.125,0.875,0.125,0.877622377622378,0.875,0.874782608695652,0.752617809006382,0.901041666666667,0.848851264476265,0.874782608695652,0.875,0.036,0.003,0.03,0,30,0,90897,332089,45733,87.5,50,?
'v3 train',1,6,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,21,3,0,87.5,12.5,0,0.75,0.125000000044395,0.353553390593274,25.0000000088791,70.6848665908305,24.012650596464,437.5015112721,-413.488860675636,1.000527108186,18.2292296363375,-17.2287025281515,18.0094879458108,0.750395331075451,74.9999999935984,1,12,0.25,3,0.75,9,0,0,0.8,1,0.888888888888889,0.774596669241483,0.854166666666667,0.773168498168498,0.875,0.125,0.875,0.125,0.9,0.875,0.873015873015873,0.774596669241483,0.861111111111111,0.842908017908018,0.873015873015873,0.875,0.05,0.003,0.05,0,50,0,90897,332089,45733,87.5,50,?
'v3 train',1,7,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,20,4,0,83.3333333333333,16.6666666666667,0,0.666666666666667,0.159370400005192,0.391601564752244,31.8740800010384,78.2917236766543,24.012650596464,1236.77826562449,-1212.76561502803,1.000527108186,51.5324277343538,-50.5319006261678,16.2861607780328,0.678590032418034,67.8232530499196,0.916666666666667,11,0.25,3,0.75,9,0.083333333333333,1,0.785714285714286,0.916666666666667,0.846153846153846,0.676123403782813,0.881944444444444,0.831196581196581,0.833333333333333,0.166666666666667,0.833333333333333,0.166666666666667,0.842857142857143,0.833333333333333,0.832167832167832,0.676123403782813,0.880208333333333,0.846532634032634,0.832167832167832,0.833333333333333,0.045,0.002,0.03,0,30,0,90897,332089,45733,87.5,52.0833333333333,?
'v3 train',1,8,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,21,3,0,87.5,12.5,0,0.75,0.124999938917691,0.353553217826498,24.9999877835382,70.6848320500883,24.012650596464,432.753952041376,-408.741301444912,1.000527108186,18.0314146683907,-17.0308875602047,18.009490062305,0.75039541926271,75.0000088076783,1,12,0.25,3,0.75,9,0,0,0.8,1,0.888888888888889,0.774596669241483,0.916666666666667,0.857142857142857,0.875,0.125,0.875,0.125,0.9,0.875,0.873015873015873,0.774596669241483,0.940972222222222,0.913827838827839,0.873015873015873,0.875,0.042,0.002,0.04,0,40,0,90897,332089,45733,87.5,50,?
'v3 train',1,9,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,16,8,0,66.6666666666667,33.3333333333333,0,0.333333333333333,0.333329334731085,0.577343343679806,66.6658669462171,115.426519193131,24.012650596464,1842.30469176519,-1818.29204116872,1.000527108186,76.7626954902161,-75.7621683820301,8.00435532209203,0.333514805087168,33.3339099319203,0.833333333333333,10,0.5,6,0.5,6,0.166666666666667,2,0.625,0.833333333333333,0.714285714285714,0.353553390593274,0.708333333333333,0.63031045751634,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.6875,0.666666666666667,0.657142857142857,0.353553390593274,0.739583333333333,0.723835682291565,0.657142857142857,0.666666666666667,0.036,0.002,0.03,0.01,30,10,90897,332089,45733,66.6666666666667,50,?
'v3 train',1,10,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,20,4,0,83.3333333333333,16.6666666666667,0,0.654676258992806,0.166666666684674,0.408248290463863,33.3834586502235,81.7592215746946,23.9536267084589,1712.91881193707,-1688.96518522861,0.998067779519122,71.3716171640444,-70.3735493845253,15.951752925803,0.664656371908459,66.5943120845657,1,13,0.363636363636364,4,0.636363636363636,7,0,0,0.764705882352941,1,0.866666666666667,0.697589432290069,0.818181818181818,0.764705882352941,0.833333333333333,0.196969696969697,0.803030303030303,0.166666666666667,0.872549019607843,0.833333333333333,0.825925925925926,0.697589432290069,0.847027972027972,0.829052000917326,0.822222222222222,0.833333333333333,0.033,0.002,0.03,0,30,0,90897,332089,45733,83.3333333333333,50,?
'v3 train',2,1,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,20,5,0,80,20,0,0.592833876221498,0.200016908386719,0.44721356309974,40.0396166245153,89.5008215318848,24.9765874474267,1416.82267059133,-1391.8460831439,0.999063497897069,56.6729068236533,-55.6738433257562,14.9722842061311,0.598891368245243,59.9452757012794,1,13,0.416666666666667,5,0.583333333333333,7,0,0,0.722222222222222,1,0.838709677419355,0.649073413641551,0.788461538461538,0.719108669108669,0.8,0.216666666666667,0.783333333333333,0.2,0.855555555555556,0.8,0.78981324278438,0.649073413641551,0.831538461538461,0.803024452156031,0.787775891341256,0.8,0.049,0.006,0.04,0.01,40,10,90897,330628,47194,80,50,?
'v3 train',2,2,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,22,3,0,88,12,0,0.758842443729904,0.137110085798898,0.355650215885541,27.4468559434387,71.1762547609698,24.9765874474267,1003.47407271999,-978.497485272565,0.999063497897069,40.1389629087997,-39.1398994109026,18.1482872075592,0.725931488302369,72.6611961932733,0.923076923076923,12,0.166666666666667,2,0.833333333333333,10,0.076923076923077,1,0.857142857142857,0.923076923076923,0.888888888888889,0.761306166786451,0.881410256410256,0.883241758241758,0.88,0.123589743589744,0.876410256410256,0.12,0.882077922077922,0.88,0.879613526570048,0.761306166786451,0.890641025641026,0.877495504495504,0.879227053140097,0.88,0.032,0.003,0.03,0,30,0,90897,330628,47194,88,52,?
'v3 train',2,3,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,20,5,0,80,20,0,0.59546925566343,0.200000001715292,0.447213595499958,40.036232227427,89.5008280161383,24.9765874474267,1700.46950820449,-1675.49292075706,0.999063497897069,68.0187803281796,-67.0197168302825,14.9728941145396,0.598915764581585,59.9477176217772,0.923076923076923,12,0.333333333333333,4,0.666666666666667,8,0.076923076923077,1,0.75,0.923076923076923,0.827586206896552,0.613824589586167,0.788461538461538,0.728205128205128,0.8,0.21025641025641,0.78974358974359,0.2,0.816666666666666,0.8,0.796059113300493,0.613824589586167,0.806923076923077,0.766966344766345,0.794745484400657,0.8,0.031,0.004,0.03,0,30,0,90897,330628,47194,80,50,?
'v3 train',2,4,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,22,3,0,88,12,0,0.758842443729904,0.120000000112375,0.346410161426481,24.0217391529301,69.3270432581852,24.9765874474267,371.449650987845,-346.473063540419,0.999063497897069,14.8579860395138,-13.8589225416167,18.974371480761,0.758974859230442,75.9686307054566,0.923076923076923,12,0.166666666666667,2,0.833333333333333,10,0.076923076923077,1,0.857142857142857,0.923076923076923,0.888888888888889,0.761306166786451,0.891025641025641,0.834548464356157,0.88,0.123589743589744,0.876410256410256,0.12,0.882077922077922,0.88,0.879613526570048,0.761306166786451,0.912564102564102,0.887897465279818,0.879227053140097,0.88,0.032,0.002,0.03,0,30,0,90897,330628,47194,88,50,?
'v3 train',2,5,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,20,4,0,83.3333333333333,16.6666666666667,0,0.654676258992806,0.162951440347006,0.399458988866061,32.6392960213852,79.9990024296125,23.9536267084589,1001.19271056767,-977.239083859213,0.998067779519121,41.7163629403196,-40.7182951608005,16.0864919751081,0.670270498962839,67.1568116632101,1,13,0.363636363636364,4,0.636363636363636,7,0,0,0.764705882352941,1,0.866666666666667,0.697589432290069,0.863636363636364,0.8125,0.833333333333333,0.196969696969697,0.803030303030303,0.166666666666667,0.872549019607843,0.833333333333333,0.825925925925926,0.697589432290069,0.874854312354312,0.854961776377218,0.822222222222222,0.833333333333333,0.033,0.002,0.03,0.01,30,10,90897,332089,45733,87.5,52.0833333333333,?
'v3 train',2,6,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,21,3,0,87.5,12.5,0,0.75,0.125000003914331,0.353553390593274,25.0000007828662,70.6848665908306,24.012650596464,1116.56050459343,-1092.54785399696,1.000527108186,46.5233543580595,-45.5228272498735,18.0094878118155,0.750395325492314,74.9999994355789,1,12,0.25,3,0.75,9,0,0,0.8,1,0.888888888888889,0.774596669241483,0.854166666666667,0.773168498168498,0.875,0.125,0.875,0.125,0.9,0.875,0.873015873015873,0.774596669241483,0.864583333333333,0.844098494098494,0.873015873015873,0.875,0.042,0.004,0.03,0,30,0,90897,332089,45733,87.5,50,?
'v3 train',2,7,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,20,4,0,83.3333333333333,16.6666666666667,0,0.666666666666667,0.166666453025247,0.408247767152119,33.3332906050494,81.6197488835536,24.012650596464,664.661689720309,-640.649039123845,1.000527108186,27.6942370716796,-26.6937099634936,16.0084411282569,0.66701838034404,66.6666974724326,0.833333333333333,10,0.166666666666667,2,0.833333333333333,10,0.166666666666667,2,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.930555555555556,0.894755244755245,0.833333333333333,0.166666666666667,0.833333333333333,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.907986111111111,0.881822344322344,0.833333333333333,0.833333333333333,0.044,0.003,0.04,0,40,0,90897,332089,45733,83.3333333333333,50,?
'v3 train',2,8,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,22,2,0,91.6666666666667,8.33333333333333,0,0.833333333333333,0.083332617781185,0.2886726558601,16.6665235562369,57.7134563287656,24.012650596464,116.304027199863,-92.2913766033988,1.000527108186,4.84600113332762,-3.84547402514162,20.0105669396976,0.833773622487401,83.333436512187,1,12,0.166666666666667,2,0.833333333333333,10,0,0,0.857142857142857,1,0.923076923076923,0.845154254728516,0.958333333333333,0.923076923076923,0.916666666666667,0.083333333333333,0.916666666666667,0.083333333333333,0.928571428571428,0.916666666666667,0.916083916083916,0.845154254728516,0.972222222222222,0.955586080586081,0.916083916083916,0.916666666666667,0.031,0.003,0.03,0,30,0,90897,332089,45733,91.6666666666667,50,?
